PPN,Pit names,accession,SB_average_Control_BenignConditions_FloodingExperiment,SB_average_Flooding_Treatment,ARN_average_Control_BenignConditions_FloodingExperiment,ARN_average_Flooding_Treatment,LN_average_Control_BenignConditions_FloodingExperiment,LN_average_Flooding_Treatment,CHL_average_Control_BenignConditions_FloodingExperiment,CHL_average_Flooding_Treatment,HD_average_Control_BenignConditions_FloodingExperiment,HD_average_Flooding_Treatment,SD_average_Control_BenignConditions_FloodingExperiment,SD_average_Flooding_Treatment,PH_average_Control_BenignConditions_FloodingExperiment,PH_average_Flooding_Treatment,LA_average_Control_BenignConditions_FloodingExperiment,LA_average_Flooding_Treatment,LMA_average_Control_BenignConditions_FloodingExperiment,LMA_average_Flooding_Treatment,LNmassC_average_Control_BenignConditions_FloodingExperiment,LNmassC_average_Flooding_Treatment
PPN001,UGA-SAM1-001,1,1.452841667,0.54925,0.5,0.833333333,11.83333333,10.5,37.59166667,35.32291667,7.553333333,6.79,6.56,4.700833333,305.5,214,100.6151667,51.61958333,23.31633905,18.52377611,6.312436948,6.501060667
PPN002,UGA-SAM1-002,2,1.257083333,0.679083333,1,2.166666667,10.83333333,9.333333333,36.64583333,31.825,7.53,7.138333333,6.11,4.796666667,316,218.5,121.167,78.471,21.26299412,19.92368616,6.749394771,6.909093386
PPN003,UGA-SAM1-003,3,1.318483333,0.66015,0,0,9.666666667,7.5,35.45,30.25416667,6.111666667,6.325,5.308333333,4.466666667,221,202,135.6235,90.41933333,22.79986401,19.06125123,5.620781409,6.132131836
PPN004,UGA-SAM1-004,4,1.6673,1.36185,0,1.666666667,9.833333333,9.5,40.77083333,38.1,6.981666667,9.225,5.925,6.445,315.5,255.3333333,127.6396667,112.0393333,25.47935726,24.53164898,5.444411256,5.809634866
PPN005,UGA-SAM1-005,5,1.406133333,1.0129,0.166666667,1.333333333,11.33333333,11,39.725,35.80416667,6.288333333,8.021666667,5.4,5.271666667,250.3333333,215.3333333,109.3931667,72.05466667,22.72958157,22.77429011,5.976580648,5.84073886
PPN006,UGA-SAM1-006,6,1.432483333,0.74935,0.166666667,2.333333333,10.33333333,8.666666667,33.87083333,28.77083333,6.195,6.316666667,5.898333333,5.17,272.5,191,126.1871667,83.4085,19.92687769,18.69697148,5.500086183,6.143611686
PPN007,UGA-SAM1-007,7,1.56445,0.992783333,2.5,8,11.83333333,10.66666667,39.3,37.35833333,5.461666667,7.945,5.766666667,5.426666667,358.1666667,280.5,97.98133333,65.8705,25.60781864,24.35261893,5.435337042,5.766214843
PPN008,UGA-SAM1-008,8,1.589316667,1.232433333,0,3.666666667,10.66666667,10.66666667,40.56666667,38.11666667,6.898333333,7.82,6.266666667,5.993333333,291.5,216.8333333,122.5275,81.92983333,23.03840199,24.82577842,6.591508624,5.301317655
PPN009,UGA-SAM1-009,9,1.18025,0.5618,0,0.833333333,14.16666667,11.66666667,38.31666667,35.22916667,6.051666667,6.406666667,5.773333333,4.08,272.3333333,208.3333333,93.986,53.6685,21.66610031,20.31602103,6.783059791,6.613655048
PPN010,UGA-SAM1-010,10,1.101833333,0.502683333,0,1.333333333,10.66666667,8.833333333,39.60416667,36.54583333,5.476666667,5.915,5.493333333,4.16,234.1666667,172.8333333,97.94083333,45.71566667,22.43535695,21.6511532,7.000829308,6.282048261
PPN011,UGA-SAM1-011,11,1.16135,0.747533333,0,0,9.166666667,8.666666667,41.00416667,37.77916667,6.528333333,7.58,5.771666667,5.266666667,153.1666667,108.8333333,134.6985,99.65866667,23.63374433,22.0535401,6.23498711,6.235461548
PPN012,UGA-SAM1-012,12,0.622575,0.23925,0,0.25,8.75,8,31.7625,32.4625,5.7275,4.59,4.9075,3.9625,157.5,89.75,92.79375,49.0325,15.61075176,14.30081103,7.293969869,7.379411136
PPN013,UGA-SAM1-013,13,0.739483333,0.3936,0,6,8.5,6.833333333,28.3,28.7875,5.815,5.856666667,5.371666667,3.98,175.1666667,142,114.696,58.58433333,18.53611928,18.54894151,7.435286396,6.897942829
PPN014,UGA-SAM1-014,14,1.088033333,0.407483333,0.333333333,2.166666667,9,7,33.29583333,29.05416667,6.798333333,6.126666667,5.991666667,4.31,246.5,172,116.8383333,59.561,21.12064829,17.84624457,6.473275972,6.587915476
PPN015,UGA-SAM1-015,15,0.992325,0.519241667,0,2.416666667,9.583333333,8.5,37.44166667,31.4375,5.74,6.016666667,5.549166667,3.963333333,211.75,171.0833333,109.8128333,62.30975,20.25591467,20.60512732,7.064097296,6.269783069
PPN016,UGA-SAM1-016,16,1.129433333,0.583216667,0,2,9.666666667,7.666666667,37.94166667,34.08333333,5.728333333,6.126666667,5.475,4.026666667,220.5,169.3333333,114.2288333,78.32566667,22.24205456,21.00586952,6.004155305,6.263045716
PPN017,UGA-SAM1-017,17,1.36795,0.717591667,0,0,9.666666667,8.5,35,33.01041667,6.466666667,6.981666667,5.628333333,4.525,319.8333333,233.1666667,136.6916667,90.418,21.63963571,19.03412346,5.79407776,6.02235593
PPN018,UGA-SAM1-018,18,1.19305,0.727983333,0.333333333,2.833333333,9.666666667,9.166666667,33.52083333,32.9625,5.758333333,5.513333333,5.708333333,4.528333333,296.8333333,213.5,132.86,89.52583333,19.81966045,19.14768638,6.513121556,6.407913101
PPN019,UGA-SAM1-019,19,1.54115,0.934133333,0,1.166666667,10.33333333,9.666666667,38.42916667,37.32083333,6.213333333,8.416666667,6.073333333,5.046666667,265.6666667,208,122.295,76.08033333,23.622062,23.27933172,6.412965466,6.198247937
PPN020,UGA-SAM1-020,20,1.67755,1.002766667,0,1.833333333,12.66666667,10.66666667,37.64583333,34.05833333,6.9,9.07,6.046666667,5.513333333,282,199.8333333,123.5778333,75.04383333,23.3729131,23.76665474,5.510011436,5.245574921
PPN021,UGA-SAM1-021,21,1.463966667,0.821433333,0,2.166666667,11.66666667,9.666666667,39.82083333,31.9875,7.126666667,8.11,6.163333333,5.48,255.3333333,179.6666667,113.236,70.30083333,24.23434747,22.18132835,6.062411762,5.647130477
PPN022,UGA-SAM1-022,22,1.052366667,0.599466667,0,3.166666667,8.333333333,6.833333333,34.00416667,31.4375,5.641666667,7.023333333,5.811666667,4.238333333,296.3333333,171,118.5015,83.4365,21.32247543,21.22183211,5.416874527,5.16140496
PPN023,UGA-SAM1-023,23,1.097216667,0.49195,0,6.5,10.5,9.166666667,37.42083333,34.6125,5.593333333,5.883333333,5.163333333,3.871666667,288.8333333,180.8333333,96.81666667,54.227,22.40946915,20.16361348,6.081767971,6.299012717
PPN024,UGA-SAM1-024,24,1.01835,0.4406,0,4,9.5,8,41.1125,36.625,5.961666667,6.371666667,5.611666667,3.808333333,237,146,106.7593333,57.48933333,21.68204668,20.64395195,6.812196579,6.800694408
PPN025,UGA-SAM1-025,25,1.307683333,0.619883333,0,1.833333333,10,8.5,41.78333333,37.46666667,6.36,7.415,5.991666667,4.435,215.6666667,151.1666667,114.4383333,62.27283333,23.95824665,22.92192421,6.111556605,6.279567847
PPN026,UGA-SAM1-026,26,1.550133333,0.743383333,0,0,10.83333333,9.666666667,47.55416667,40.59583333,6.295,6.741666667,6.098333333,5.155,244.8333333,160.5,105.4518333,56.5415,27.66586684,26.82155417,5.904399998,6.203631062
PPN028,UGA-SAM1-028,28,1.39535,0.79575,0,3.166666667,7.833333333,7.5,35.92083333,34.27916667,5.685,7.29,5.793333333,5.208333333,274,169.1666667,151.4691667,83.2515,23.80786045,23.23106779,5.399195819,5.730465053
PPN029,UGA-SAM1-029,29,1.5688,0.624025,0,0.75,10.91666667,10,37.97291667,32.48541667,7.233333333,6.976666667,6.243333333,4.740833333,273.1666667,199.0166667,134.2289167,62.33491667,23.97409176,22.05421972,6.332697248,6.137711394
PPN030,UGA-SAM1-030,30,0.258875,0.241475,0,0.75,5.75,5.75,38.3125,37.55625,3.8125,4.3625,3.69,3.5275,124.5,85.5,51.0365,57.32725,21.35771243,19.47534213,6.756323035,7.121620336
PPN031,UGA-SAM1-031,31,1.268525,0.543616667,0,6.416666667,10.33333333,8,40.675,36.975,6.073333333,6.806666667,5.6725,4.399166667,228.0833333,167.1666667,100.8715833,58.83625,22.54414001,20.23822183,6.493655606,6.133740913
PPN032,UGA-SAM1-032,32,1.395616667,0.721533333,0.166666667,8.833333333,11,9.333333333,45.84166667,35.9,5.536666667,7.961666667,5.785,4.811666667,263.3333333,188.8333333,111.9126667,58.70616667,25.64323266,25.53653071,6.483339991,6.050250725
PPN034,UGA-SAM1-034,34,1.172866667,0.439166667,0,2,10,9,39.73333333,35.63333333,5.686666667,5.811666667,5.81,4.161666667,248.3333333,174.1666667,104.291,51.4145,22.66865231,20.68191418,5.924402531,6.153710334
PPN035,UGA-SAM1-035,35,1.108891667,0.648633333,0,0,10.16666667,9.416666667,38.5625,37.33541667,6.95,8.129166667,6.016666667,5.17,232.8333333,203.0833333,98.89058333,63.60366667,23.49745041,21.60433759,6.528720852,6.906562442
PPN036,UGA-SAM1-036,36,0.916566667,0.374566667,0,3.5,8.833333333,8.166666667,40.8375,27.62916667,5.606666667,6.15,4.981666667,3.54,282.8333333,200.1666667,90.93083333,39.00416667,23.03271751,20.77652696,6.842389862,6.806275877
PPN037,UGA-SAM1-037,37,1.5922,0.761383333,0,4.5,10.83333333,9,38.35,34.5875,7.44,6.958333333,5.953333333,4.96,306.5,222,134.6816667,83.65666667,23.37996727,20.71811023,5.789547622,5.757417757
PPN038,UGA-SAM1-038,38,1.2531,0.687183333,0,6.666666667,9.833333333,9.166666667,39.80416667,34.54166667,6.06,7.02,5.188333333,4.368333333,315.5,241,100.8645,60.751,24.30869558,23.09896708,6.0789367,6.810287862
PPN039,UGA-SAM1-039,39,1.451483333,1.11805,0.166666667,0.333333333,10.83333333,9.666666667,39.22083333,36.5875,6.728333333,8.99,6.415,5.838333333,272.1666667,213.6666667,117.071,92.9145,23.30611313,22.65845382,5.688857721,5.611099684
