Planting Packet Number,Pit names,Class,PI or Accession No.,Name of the line
PPN001,UGA-SAM1-001,HA-Oil,PI_664210,HA 851
PPN002,UGA-SAM1-002,HA-Oil,PI_664212,HA 853
PPN003,UGA-SAM1-003,HA-NonOil,PI_664232,HA 323
PPN004,UGA-SAM1-004,HA-NonOil,PI_509061,HA 351
PPN005,UGA-SAM1-005,HA-NonOil,PI_509062,HA 352
PPN006,UGA-SAM1-006,HA-NonOil,PI_552932,HA 286
PPN007,UGA-SAM1-007,HA-Oil,PI_552940,HA 302
PPN008,UGA-SAM1-008,RHA-NonOil,PI_552943,RHA 280
PPN009,UGA-SAM1-009,RHA-Oil,PI_560144,RHA376
PPN010,UGA-SAM1-010,RHA-Oil,PI_560145,RHA 377
PPN011,UGA-SAM1-011,HA-NonOil,PI_561920,HA 380
PPN012,UGA-SAM1-012,RHA-Oil,PI_561921,RHA 381
PPN013,UGA-SAM1-013,RHA-Oil,PI_578008,RHA 386
PPN014,UGA-SAM1-014,RHA-Oil,PI_578009,RHA 387
PPN015,UGA-SAM1-015,RHA-Oil,PI_578010,RHA 388
PPN016,UGA-SAM1-016,RHA-Oil,PI_578011,RHA 389
PPN017,UGA-SAM1-017,HA-Oil,PI_578872,HA 383
PPN018,UGA-SAM1-018,HA-Oil,PI_578873,HA 384
PPN019,UGA-SAM1-019,HA-Oil,PI_597367,HA 403
PPN020,UGA-SAM1-020,HA-Oil,PI_597368,HA 404
PPN021,UGA-SAM1-021,HA-Oil,PI_597369,HA 405
PPN022,UGA-SAM1-022,RHA-Oil,PI_597373,RHA 396
PPN023,UGA-SAM1-023,RHA-Oil,PI_597374,RHA 397
PPN024,UGA-SAM1-024,RHA-Oil,PI_599758,RHA 273
PPN025,UGA-SAM1-025,RHA-Oil,PI_599766,RHA 298
PPN026,UGA-SAM1-026,HA-Oil,PI_599775,HA 124
PPN027,UGA-SAM1-027,HA-NonOil,PI_599783,HA 314
PPN028,UGA-SAM1-028,HA-NonOil,PI_599976,HA 306
PPN029,UGA-SAM1-029,HA-NonOil,PI_599983,HA 313
PPN030,UGA-SAM1-030,RHA-Oil,PI_607920,R-185
PPN031,UGA-SAM1-031,RHA-Oil,PI_607921,R-188
PPN032,UGA-SAM1-032,RHA-Oil,PI_607923,R-201
PPN033,UGA-SAM1-033,RHA-Oil,PI_633746,RHA 436
PPN034,UGA-SAM1-034,RHA-Oil,PI_633747,RHA 437
PPN035,UGA-SAM1-035,HA-NonOil,PI_650575,HA 112
PPN036,UGA-SAM1-036,HA-NonOil,PI_650579,HA 116
PPN037,UGA-SAM1-037,HA-NonOil,PI_650582,HA 133
PPN038,UGA-SAM1-038,HA-Oil,PI_650612,HA 113
PPN039,UGA-SAM1-039,HA-NonOil,PI_509060,HA 350
PPN040,UGA-SAM1-040,HA-Oil,PI_534656,HA 370
PPN041,UGA-SAM1-041,RHA-NonOil,PI_543746,RGIG1
PPN042,UGA-SAM1-042,RHA-Oil,PI_599768,RHA 801
PPN043,UGA-SAM1-043,HA-Oil,PI_650754,HA-R3
PPN044,UGA-SAM1-044,OPV,PI_650467,VK-47
PPN045,UGA-SAM1-045,NonOil,PI_664233,ND-BLP2
PPN046,UGA-SAM1-046,landrace,PI_600717,MANDAN#1
PPN047,UGA-SAM1-047,HA-Oil,PI_642771,HA 452
PPN048,UGA-SAM1-048,OPV,PI_650817,KLEIN CASARES
PPN049,UGA-SAM1-049,RHA-Oil,PI_642774,RHA 455
PPN050,UGA-SAM1-050,HA-Oil,PI_642775,HA 456
PPN051,UGA-SAM1-051,OPV,PI_340790,USSR VNIIMK 8931 ' 66
PPN052,UGA-SAM1-052,HA-NonOil,PI_642776,HA 457
PPN053,UGA-SAM1-053,HA-Oil,PI_642777,HA 412 HO
PPN054,UGA-SAM1-054,RHA-NonOil,PI_655014,RHA 463
PPN055,UGA-SAM1-055,RHA-NonOil,PI_655015,RHA 464
PPN056,UGA-SAM1-056,RHA-NonOil,PI_664200,RHA 324
PPN057,UGA-SAM1-057,RHA-Oil,PI_664216,RHA 855
PPN058,UGA-SAM1-058,Oil,PI_664222,ND-ERLYS
PPN059,UGA-SAM1-059,HA-NonOil,PI_509059,HA 349
PPN060,UGA-SAM1-060,RHA-Oil,PI_531072,RHA 359
PPN061,UGA-SAM1-061,RHA-Oil,PI_534650,RHA 364
PPN062,UGA-SAM1-062,HA-Oil,PI_534657,HA 371
PPN063,UGA-SAM1-063,Introgressed,PI_549001,HA GERMPLASM POOL III - G
PPN064,UGA-SAM1-064,Introgressed,PI_549011,HA GERMPLASM POOL III - Q
PPN065,UGA-SAM1-065,RHA-Oil,PI_552931,RHA 296
PPN066,UGA-SAM1-066,Oil,PI_552948,DM - 3
PPN067,UGA-SAM1-067,HA-Oil,PI_561918,HA 378
PPN068,UGA-SAM1-068,HA-NonOil,PI_599753,HA 154
PPN069,UGA-SAM1-069,HA-Oil,PI_639165,HA 442
PPN070,UGA-SAM1-070,HA-NonOil,PI_599780,HA 285
PPN071,UGA-SAM1-071,HA-Oil,PI_599781,HA 289
PPN072,UGA-SAM1-072,RHA-NonOil,PI_599980,RHA 309
PPN073,UGA-SAM1-073,NonOil,PI_601368,PHA009
PPN074,UGA-SAM1-074,HA-NonOil,PI_650588,HA 228
PPN075,UGA-SAM1-075,Introgressed,PI_664168,HA GERMPLAS POOL I
PPN076,UGA-SAM1-076,HA-NonOil,PI_599982,HA 312
PPN077,UGA-SAM1-077,HA-Oil,PI_664209,HA 850
PPN078,UGA-SAM1-078,HA-NonOil,PI_664231,HA 322
PPN079,UGA-SAM1-079,Introgressed,PI_548996,HA GERMPLASM POOL III-B
PPN080,UGA-SAM1-080,HA-NonOil,PI_552933,HA 287
PPN081,UGA-SAM1-081,RHA-Oil,PI_560143,RHA 375
PPN082,UGA-SAM1-082,NonOil,PI_664193,ND-NONOIL B2
PPN083,UGA-SAM1-083,landrace,PI_432504,HOPI DYE
PPN084,UGA-SAM1-084,Introgressed,PI_664169,HA GERMPLASM POOL II
PPN086,UGA-SAM1-086,Introgressed,PI_664175,HA GERMPLASM POOL V-1I
PPN087,UGA-SAM1-087,Introgressed,PI_664177,HA GERMPLASM POOL V-1K
PPN088,UGA-SAM1-088,Introgressed,PI_664179, HA GPP V-2
PPN089,UGA-SAM1-089,NonOil,PI_664190,ND-NONOIL 2
PPN090,UGA-SAM1-090,HA-NonOil,PI_655009,HA 458
PPN091,UGA-SAM1-091,NonOil,PI_664191,ND-NONOIL3
PPN092,UGA-SAM1-092,NonOil,PI_664194,ND-NONOIL B3
PPN093,UGA-SAM1-093,OPV,PI_386230,VIR 847
PPN094,UGA-SAM1-094,OPV,PI_476853,MAMMOTH
PPN095,UGA-SAM1-095,NonOil,PI_664196,ND-NONOIL B5
PPN096,UGA-SAM1-096,RHA-Oil,PI_655013,RHA 462
PPN097,UGA-SAM1-097,NonOil,PI_664199,ND-NONOIL M3
PPN098,UGA-SAM1-098,RHA-NonOil,PI_664201,RHA 326
PPN099,UGA-SAM1-099,RHA-NonOil,PI_664203,RHA 329
PPN100,UGA-SAM1-100,RHA-NonOil,PI_664204,RHA 330
PPN101,UGA-SAM1-101,RHA-NonOil,PI_664205,RHA 331
PPN102,UGA-SAM1-102,RHA-NonOil,PI_664206,RHA 332
PPN103,UGA-SAM1-103,RHA-NonOil,PI_664207,RHA 333
PPN104,UGA-SAM1-104,HA-Oil,PI_664211,HA 852
PPN105,UGA-SAM1-105,Oil,PI_664213,ND-BLOS
PPN106,UGA-SAM1-106,RHA-Oil,PI_664215,RHA 854
PPN107,UGA-SAM1-107,RHA-Oil,PI_664218,RHA 857
PPN108,UGA-SAM1-108,RHA-Oil,PI_664219,RHA 858
PPN109,UGA-SAM1-109,Oil,PI_664221,ND-EBLYS
PPN110,UGA-SAM1-110,HA-NonOil,PI_664227,HA 318
PPN111,UGA-SAM1-111,HA-NonOil,PI_664228,HA 319
PPN112,UGA-SAM1-112,HA-NonOil,PI_664229,HA 320
PPN113,UGA-SAM1-113,HA-NonOil,PI_664230,HA 321
PPN114,UGA-SAM1-114,RHA-NonOil,PI_664234,RHA 325
PPN115,UGA-SAM1-115,RHA-Oil,PI_509057,RHA 347
PPN116,UGA-SAM1-116,HA-NonOil,PI_509063,HA 353
PPN117,UGA-SAM1-117,RHA-NonOil,PI_509064,RHA 354
PPN118,UGA-SAM1-118,RHA-Oil,PI_531074,RHA 361
PPN119,UGA-SAM1-119,RHA-NonOil,PI_531075,RHA 362
PPN120,UGA-SAM1-120,RHA-Oil,PI_534649,RHA 363
PPN121,UGA-SAM1-121,RHA-Oil,PI_534653,RHA 367
PPN122,UGA-SAM1-122,RHA-NonOil,PI_543745,RPET2
PPN123,UGA-SAM1-123,Introgressed,PI_548997,HA GERMPLASM POOL III-C
PPN124,UGA-SAM1-124,Introgressed,PI_548998,HA GERMPLASM POOL III-D
PPN125,UGA-SAM1-125,Introgressed,PI_549003,HA GERMPLASM POOL III-I
PPN126,UGA-SAM1-126,Introgressed,PI_549006,HA GERMPLASM POOL III-L
PPN127,UGA-SAM1-127,Introgressed,PI_549009,HA GERMPLASM POOL III-o
PPN128,UGA-SAM1-128,Introgressed,PI_549015,HA GERMPLASM POOL III-U
PPN129,UGA-SAM1-129,HA-NonOil,PI_552934,HA 288
PPN130,UGA-SAM1-130,HA-Oil,PI_552935,HA 290
PPN131,UGA-SAM1-131,HA-Oil,PI_552936,HA 291
PPN132,UGA-SAM1-132,HA-NonOil,PI_552937,HA 292
PPN133,UGA-SAM1-133,HA-Oil,PI_552938,HA300
PPN134,UGA-SAM1-134,HA-NonOil,PI_552942,HA305
PPN135,UGA-SAM1-135,Oil,PI_552947,DM-2
PPN136,UGA-SAM1-136,RHA-Oil,PI_560141,RHA 373
PPN137,UGA-SAM1-137,RHA-Oil,PI_560142,RHA 374
PPN138,UGA-SAM1-138,HA-Oil,PI_578874,HA 385
PPN139,UGA-SAM1-139,HA-Oil,PI_597364,HA 393
PPN140,UGA-SAM1-140,HA-Oil,PI_597365,HA 394
PPN141,UGA-SAM1-141,HA-Oil,PI_597370,HA 406
PPN142,UGA-SAM1-142,RHA-Oil,PI_597375,RHA 398
PPN143,UGA-SAM1-143,RHA-Oil,PI_599757,RHA 270
PPN144,UGA-SAM1-144,HA-Oil,PI_599770,HA 60
PPN145,UGA-SAM1-145,HA-Oil,PI_599779,HA 277
PPN146,UGA-SAM1-146,RHA-NonOil,PI_599788,RHA 293
PPN147,UGA-SAM1-147,HA-NonOil,PI_599978,HA 308
PPN148,UGA-SAM1-148,RHA-Oil,PI_603987,RHA 391
PPN149,UGA-SAM1-149,HA-NonOil,PI_607510,HA-R7
PPN150,UGA-SAM1-150,Oil,PI_607927,IMISUN-1
PPN151,UGA-SAM1-151,HA-Oil,PI_617098,HA 425
PPN152,UGA-SAM1-152,HA-Oil,PI_632338,HA 429
PPN153,UGA-SAM1-153,HA-Oil,PI_632342,HA 433
PPN154,UGA-SAM1-154,RHA-Oil,PI_633748,RHA 438
PPN155,UGA-SAM1-155,HA-Oil,PI_639169,HA 446
PPN156,UGA-SAM1-156,HA-NonOil,PI_650570,HA 65
PPN157,UGA-SAM1-157,HA-NonOil,PI_650592,HA 236
PPN158,UGA-SAM1-158,HA-NonOil,PI_650599,HA 249
PPN159,UGA-SAM1-159,HA-Oil,PI_650763,HA-R5
PPN160,UGA-SAM1-160,HA-Oil,PI_597371,HA 407
PPN161,UGA-SAM1-161,RHA-Oil,PI_597372,RHA 395
PPN162,UGA-SAM1-162,RHA-Oil,PI_597376,RHA 399
PPN163,UGA-SAM1-163,RHA-Oil,PI_597377,RHA 400
PPN164,UGA-SAM1-164,RHA-Oil,PI_597378,RHA 401
