Category;Sub-Category;ontology name;ID;Phenotype;Unit;Description;Method;image associated
Plant development;Flowering time;leaf number;http://purl.obolibrary.org/obo/TO_0000241;TLN;leaves;"Total Leaf Number; number of true leaves on the main stem";The toal number of true leaves on the main stem was determined after anthesis (pollen appearance);NA
Plant development;Flowering time;days to flowering trait;http://purl.obolibrary.org/obo/TO_0000344;DTF ;days;Age of the plant at anthesis;Number of days passed between the transplant date and the date at which the first flower bud became visible;NA
Plant development;Flowering time;days to inflorescence exsertion;http://purl.obolibrary.org/obo/TO_0001021;Days_to_budding;days;Age of the plant at budding;Number of days passed between the transplant date and the date at which pollen was first produced in the first flower head;NA
Plant development;Growth rate;leaf elongation rate;http://purl.obolibrary.org/obo/TO_0000360;LIR;leaves/day;"Leaf Initiation Rate; speed at which new leaves are generated";Ratio between TLN and Days_to_budding;NA
Plant architecture;Plant architecture;stem diameter;http://purl.obolibrary.org/obo/TO_0020083;Stem_diamater_at_flowering;mm;Primary stem diameter at anthesis;Primary stem diameter was measured after the first node with a digital caliper, on the day in which the first inflorescence started producing pollen.;NA
Plant architecture;Plant architecture;plant height;http://purl.obolibrary.org/obo/TO_0000207;Plant_height_at_flowering;cm;Total length of the main stem;Length of the main stem after flowering and after elongation was complete;NA
Plant architecture;Plant architecture;peduncle length;http://purl.obolibrary.org/obo/TO_0002691;Peduncle_lenght;cm;Length of the peduncle of the first flower;Length of the peduncle was measured in the field after anthesis;NA
Plant architecture;Plant architecture;shoot axis internode length;http://purl.obolibrary.org/obo/TO_0000145;Internode_length;cm;Average length of an internode;Ratio between plant height and number of nodes (approximated as total leaf number);NA
Plant architecture;Plant architecture;basal internode diameter;http://purl.obolibrary.org/obo/TO_0000132;Stem_diameter_final_before_1st_node;mm;Diameter of the stem base of fully developed plants;Primary stem diameter was measured before the first node with a digital caliper, on the day in which the plants were removed from the field (Oct. 2016);NA
Plant architecture;Plant architecture;stem internode morphology trait;http://purl.obolibrary.org/obo/TO_0000756;Stem_diameter_final_after_5th_node;mm;Diameter of the stem of fully developed plants;Primary stem diameter was measured after the fifth node with a digital caliper, on the day in which the plants were removed from the field (Oct. 2016);NA
Plant architecture;Plant architecture;plant structure morphology trait;http://purl.obolibrary.org/obo/TO_0000839;Distance_of_first_branching_from_ground;mm;Distance between ground and first node;Hight of the main stem from ground to first node after flowering and after elongation was complete;NA
Plant architecture;Plant architecture;primary branch number;http://purl.obolibrary.org/obo/TO_0000547;Primary_branches;branches;Number of branches on the main stem;The total number of true leaves on the main stem was determined after anthesis, and shortly before the plants were removed from the field (Oct. 2016);NA
Carbon nitrogen content;Carbon nitrogen content;leaf nitrogen content;http://purl.obolibrary.org/obo/TO_0000543;Leaf_total_N;proportion of total weight;Amount of nitrogen in leaf tissue;Leaf tissue was dried in an oven for 3 days at 65ºC and then ground in individual 2 ml tubes containing one 0.3 cm metal bead using a TissueLyser (Qiagen, Hilden, Germany). Three to five mg of ground tissue were packed in tin cups and sent for inorganic element analysis to the Pacific Centre for Isotopic and Geochemical Research of the University of British Columbia;NA
Carbon nitrogen content;Carbon nitrogen content;carbon content;http://purl.obolibrary.org/obo/TO_0000466;Leaf_total_C;proportion of total weight;Amount of carbon in leaf tissue;Leaf tissue was dried in an oven for 3 days at 65ºC and then ground in individual 2 ml tubes containing one 0.3 cm metal bead using a TissueLyser (Qiagen, Hilden, Germany). Three to five mg of ground tissue were packed in tin cups and sent for inorganic element analysis to the Pacific Centre for Isotopic and Geochemical Research of the University of British Columbia;NA
Carbon nitrogen content;Carbon nitrogen content;leaf composition trait;http://purl.obolibrary.org/obo/TO_0000493;Leaf_C_N_ratio;;Ratio between carbon and nitrogen content in leaf tissue;;NA
Inflorescence traits;Inflorescence architecture;inflorescence circumference;http://purl.obolibrary.org/obo/TO_0000680;Disk_diameter;cm;Diameter of the inflorescence disk;"Average of two perpedicular inflorescence disk diameter measurements performed on each of the first three inflorescences produced by each plant. Inflorescences were collected in the field, and front and back digital pictures were taken in the lab using a setup that provided even illumination. A size and colour standard was included in each picture. Measuements were taken using the Fiji software (Schneider et al., 2012; Schindelin et al., 2012).";ANN_flowers_renamed folder: eg. ANN0801_inflorescenceTOP_1
