Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF ;Stem diameter at flowering;Plant height at flowering;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Stem colour;Petiole main veins colour;Darker axillae;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Trichomes length;Trichomes density leaf edge flat area;Trichomes density leaf edge secondary veins;Trichomes density leaf center flat area;Trichomes density leaf center secondary veins;Trichomes density edge average;Trichomes density center average;Trichomes density nonvein average;Trichomes density vein average;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Phyllaries diameter;Phyllaries length;Phyllaries width;Phyllaries LW ratio;Flowerhead to phyllaries diameter ratio;Disk to phyllaries diameter ratio;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
ANN0801;ANN0801;20;0,588235294;34;49;44,4;145,9;7,295;53;46;9,5;18;29,16950808;6,083;43,488;7,149304489;4,441211139;4,965216054;1,730799498;14,2801266;2,906173202;3,217821141;20,33333333;1;2;1;583,7395;11005,6554;93,98;106,68;152,654;162,56;199,7021;1,871973191;2,999510204;95;69;88;65;82;76,5;91,5;67;1,5238;1,6243;2,1022;0,0921;0,1623;0,3647;0,346;0,5922;0,7512;0,8989;0,8743;1,6216;0,3459;181,712;0,461505019;0,30883486;0,229660122;9,771137775;4,28240207;1,192684096;3,606191877;1,463783265;0,454886534;15,3118375;12,9018875;2,7543375;2,8575;5,7507125;5,797025;5,8924625;2,062104112;2,0348125;2,094175;2,1250375;0,0582125;0,2230125;0,496325;0,2377625;0,387275;0,76115;0,8809875;0,8560375;1,9956;0,4076375
ANN0802;ANN0802;15;1,363636364;11;35;20,4;85,8;5,72;33;28;10,5;13;20,14030792;5,214;43,252;8,294829659;3,844667737;3,890856552;2,003318181;11,28278829;1,97501782;2,942474255;18;1;3;0;446,8268;8267,5964;81,28;99,06;127;133,858;147,1673;1,485637997;3,721297959;49;35;62;35;42;48,5;55,5;35;1,3513;1,5625;1,5486;0,1;0,1361;0,3706;0,4423;0,6717;0,7605;0,8696;0,8658;1,5625;0,3724;179,288;0,468994021;0,318654902;0,212351078;7,426780093;3,47935573;1,175850308;2,971539432;1,520044629;0,514632229;15,461375;14,2628;3,1207625;3,2319;5,586675;5,632975;5,813575;1,798810297;1,746025;1,7941;1,834325;0,054125;0,1826125;0,491875;0,289475;0,351825;0,791725;0,886;0,886475;1,7991625;0,3927375
ANN0803;ANN0803;23;0,884615385;26;49;32,1;114,2;4,965217391;36;28;10;21;21,33187213;6,313;42,154;6,67699898;4,78230588;4,605045605;1,779386155;13,70181263;2,611539434;2,865717717;21;1;2;0;471,8439;10025,9799;84,582;103,124;135,382;142,748;152,2376;1,476257709;2,735387755;104,5;61;109,5;57,5;82,75;83,5;107;59,25;1,3842;1,6006;1,6467;0,0944;0,1405;0,4374;0,4449;0,6763;0,7558;0,8706;0,8983;1,4422;0,37;170,933;0,445308981;0,305985386;0,248705633;7,420484539;2,977656186;1,196473329;2,516424106;1,85428929;0,645301602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ANN0804;ANN0804;17;0,708333333;24;NA;29,8;104,9;6,170588235;53;42;10,5;16;21,43717178;6,498;42,697;6,570983736;4,883209973;3,689747062;1,665725644;12,01301416;2,267163453;2,45833132;22,66666667;0;3;0;444,1336;9509,5294;85,598;98,044;143,51;148,59;162,2875;1,655251724;3,198171429;124;59;82;84;91,5;83;103;71,5;1,5155;1,6766;1,8466;0,0998;0,1621;0,3858;0,4896;0,6923;0,7705;0,8911;0,8858;1,6791;0,3574;192,294;0,459520318;0,32107086;0,219408822;7,872744973;2,799930844;1,126385451;2,495971594;1,525774528;0,621643725;16,0058;13,7075;2,783433333;2,938633333;6,0819;6,1489;6,246666667;2,125704693;2,1072;2,197466667;2,233166667;0,062466667;0,232;0,476933333;0,281233333;0,370766667;0,763033333;0,887733333;0,8573;2,129466667;0,4061
ANN0805;ANN0805;23;0,676470588;34;58;34,2;175,7;7,639130435;36;30;2,5;24;26,22093043;3,85;43,279;11,24133834;5,001862188;4,804856928;2,106973506;14,42295427;2,31921571;2,894608315;23,33333333;1;1;0;496,1165;10100,3024;85,852;107,188;137,16;159,766;171,9556;1,604243012;3,457469388;55;62;74;80;58,5;77;64,5;71;1,4905;1,5976;1,9398;0,1041;0,1595;0,3478;0,4115;0,6979;0,6879;0,8623;0,8692;1,6;0,4148;197,055;0,466889955;0,326984852;0,206125193;10,26952592;4,173789238;1,578066102;2,652729108;1,409245321;0,490296078;17,2152;16,6003875;3,386675;3,456775;6,236225;6,2918;6,4388375;1,862671855;1,822425;1,84395;1,8743625;0,04585;0,1896375;0,46855;0,1991;0,4196625;0,75545;0,872525;0,858125;1,75595;0,3915
ANN0806;ANN0806;18;0,545454545;33;51;29,4;110,1;6,116666667;37;25;13;17;33,48150737;5,707;40,909;7,167744983;4,626216516;4,661517335;2,078706063;13,95272889;2,245361152;3,019246633;22,66666667;0;0;0;445,9446;9311,2072;86,36;102,108;123,444;133,858;142,6072;1,396631018;2,056310204;46;45;87;47;45,5;67;66,5;46;1,3109;1,4294;1,5515;0,089;0,1191;0,4497;0,4634;0,6949;0,7072;0,8341;0,8815;1,3191;0,4291;147,265;0,462784776;0,30120531;0,236009914;8,676144423;3,447745201;1,334046792;2,589099284;1,612343276;0,534738807;16,7376125;15,342275;3,02155;3,1260625;6,2097625;6,3182625;6,449025;2,062986585;2,0244625;2,0592625;2,134575;0,0550375;0,2232625;0,482525;0,2636125;0,387775;0,76355;0,8844625;0,8642625;1,99775;0,404475
ANN0807;ANN0807;25;0,961538462;26;51;33,6;145,7;5,828;30;28;13,5;21;31,85030998;6,782;41,966;6,187895289;NA;NA;NA;NA;NA;NA;26;1;1;0;507,661;9319,4007;81,534;111,252;128,524;141,478;155,7753;1,400202244;4,646693878;74;30;72;57;52;64,5;73;43,5;1,2717;1,5763;1,3769;0,1295;0,1524;0,3783;0,5896;0,717;0,7158;0,8964;0,8728;1,5547;0,446;192,989;0,458228189;0,314898777;0,226873034;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ANN0808;ANN0808;20;0,769230769;26;55;40,7;175,2;8,76;49;43;9;20;17,24034129;5,805;44,089;7,595685515;4,733401969;6,589108455;1,224526003;17,78882244;5,582792175;3,759579683;22,66666667;1;4;1;723,2477;12497,5234;90,17;112,776;168,402;182,372;219,0817;1,942626977;3,178481633;62;58;45;75;60;60;53,5;66,5;1,6171;1,8676;2,4434;0,1249;0,2061;0,3807;0,4894;0,7288;0,7476;0,886;0,8845;1,9143;0,3915;156,409;0,47003689;0,310787742;0,219175367;10,69324516;4,323981647;1,16401781;3,715959554;1,716584916;0,464507458;16,2292125;14,1516875;2,8601625;3,014925;6,15815;6,2388625;6,3676875;2,112055026;2,0774625;2,1626375;2,2204375;0,0626125;0,23095;0,457625;0,2724;0,3609875;0,7646;0,8756625;0,8713;2,100525;0,3981
ANN0809;ANN0809;28;0,823529412;34;59;36;146,9;5,246428571;52;43;8;27;28,41351262;6,254;41,374;6,615126992;3,897415961;4,719423007;1,458824532;13,14614993;3,25944438;3,37425162;22,75;1;0;0;721,103;14749,4544;107,442;137,414;171,45;175,26;218,8814;1,592860989;3,408979592;17;32;11;41;24,5;26;14;36,5;1,2754;1,5957;1,9719;0,1277;0,1511;0,3645;0,568;0,7831;0,7692;0,8878;0,8717;1,5774;0,3882;178,095;0,470423089;0,310379292;0,219197619;9,80923955;4,381336717;1,177071314;3,722973998;1,333415645;0,394587648;13,801425;9,955425;2,4275625;2,6127625;5,232125;5,2996;5,4431125;2,083278714;2,030275;2,1583125;2,2097;0,0671875;0,225925;0,4305;0,310125;0,343975;0,7254875;0,882675;0,8131;1,9851375;0,414175
ANN0810;ANN0810;19;0,904761905;21;48;41,8;150,1;7,9;69;54;8;18;19,88671817;5,881;42,995;7,310654251;4,010518111;4,266957575;1,625305337;12,42021811;2,677973183;3,096936675;22,5;1;3;1;566,8461;9279,1427;77,47;95,504;129,032;149,86;183,1747;1,917979352;2,999020408;64;61;27;85;62,5;56;45,5;73;1,5691;1,6656;1,9933;0,1111;0,1978;0,4193;0,4889;0,7458;0,6893;0,8884;0,8884;1,6777;0,4635;186,911;0,466944161;0,316749683;0,216306156;8,4883767;3,334821426;1,073390355;3,124779681;1,463593727;0,472605516;18,2548375;17,5400375;3,0572625;3,2543875;7,0061625;7,0577625;7,158175;2,199545998;2,1879375;2,31075;2,3236625;0,065925;0,246525;0,4767;0,29195;0,3437375;0,7769875;0,888125;0,8690875;2,263525;0,4009
