Plant ID;Genotype ID;Days to budding;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue
ARG0001;ARG0001;128;24,27620897;3,340479622;40,34146565;12,07654894;414,9456;7922,8224;74,4216;89,1552;138,9384;140,208;144,0264;1,615457091;1,5726;1,8669;1,8452;0,1008;0,187;0,3497;0,4356;0,6957;0,7477;0,9015;0,853;1,5725;0,3096;213,976;0,414195985;0,309609489;0,276194526
ARG0002;ARG0002;127;25,3889414;2,391535578;37,02922616;15,48345193;426,4008;9283,3344;85,0896;104,6472;146,0496;147,3192;148,692;1,420888471;1,4078;1,7164;1,6844;0,1054;0,1474;0,3407;0,4694;0,7207;0,791;0,8842;0,8876;1,7218;0,335;232,135;0,429263144;0,3211321;0,249604756
ARG0003;ARG0003;118;30,59975326;3,06295248;40,144433;13,10644983;486,3696;10000,6848;67,056;104,1408;166,6248;171,7032;172,1448;1,653000553;1,6488;2,4848;2,3541;0,1253;0,2304;0,2959;0,5272;0,7403;0,5926;0,6689;0,8791;1,6949;0,5217;230,494;0,411728722;0,307712999;0,280558279
ARG0004;ARG0004;116;32,85690599;2,972649461;40,12141827;13,49685484;523,0656;11414,016;69,3432;100,0752;174,2448;186,6912;189,2064;1,890642237;1,8655;2,5128;2,4842;0,1092;0,2462;0,3544;0,4799;0,7205;0,6158;0,7483;0,8726;1,8678;0,5144;224,345;0,434134926;0,315941964;0,249923109
ARG0005;ARG0005;110;27,10901547;2,781468426;37,87131201;13,61558221;503,4;12418,4448;90,9312;110,9976;167,64;173,736;175,02;1,57679085;1,5652;1,8436;1,7273;0,091;0,1724;0,3625;0,4685;0,7145;0,6061;0,6809;0,8809;1,3709;0,4899;218,746;0,415769888;0,317226372;0,267003739
ARG0006;ARG0006;128;37,98067227;3,836164516;40,8261731;10,64244584;505,6656;10413,3888;70,6128;99,3144;165,1008;169,4184;181,0392;1,822889732;1,7059;2,3381;2,0591;0,1044;0,2112;0,3466;0,4444;0,6832;0,6547;0,7365;0,8826;1,7869;0,4823;218,643;0,432001025;0,315706426;0,25229255
ARG0007;ARG0007;119;35,30195682;4,193710703;39,68935645;9,464018684;345,252;6026,976;68,8344;79,7568;114,3;117,348;122,892;1,540834136;1,4713;1,6605;1,7723;0,0768;0,1425;0,3706;0,3576;0,622;0,7375;0,8901;0,8479;1,453;0,3311;226,224;0,436766214;0,31360952;0,249624266
ARG0008;ARG0008;119;26,60961714;3,224525152;41,04449011;12,72884787;443,1744;6725,5488;61,4688;83,3112;113,0304;139,9536;150,4536;1,805922853;1,6799;1,8388;2,287;0,1105;0,2198;0,2876;0,4124;0,6837;0,2327;0,3678;0,5714;0,6598;0,8129;229,912;0,423396778;0,314320262;0,26228296
ARG0009;ARG0009;125;23,15752523;2,455125924;38,79164281;15,80026606;503,6904;12159,5904;91,6944;124,968;152,9088;162,3072;166,7712;1,334511235;1,2988;1,6676;1,6323;0,1225;0,1477;0,338;0,5965;0,7382;0,6897;0,7985;0,8871;1,3836;0,4169;227,946;0,430540567;0,320093355;0,249366078
ARG0010;ARG0010;127;25,90133576;3,070433048;40,11776203;13,06583189;459,0672;9828,7488;83,3112;103,1232;149,8608;155,7024;167,8104;1,627280767;1,5099;1,7988;1,8984;0,0999;0,1644;0,3126;0,4907;0,6983;0,7059;0,9191;0,7985;1,4595;0,3408;239,378;0,389906341;0,310880699;0,29921296
