Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF;Stem diameter at flowering;Plant height at flowering;Peduncle length of first flower;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
PET0301;PET0301;17;0,435897436;39;53;21,7;114,7;19;5,461904762;28,6;18,5;4,5;17;26,58363902;6,257783579;39,55778903;6,321373778;2,606705358;3,075174091;1,021060019;8,70736778;3,036475185;3,341911243;19;349,9955;3814,7522;31,75;51,816;124,968;126,238;130,078;2,510382893;2,4363;3,936;3,9852;0,1155;0,3299;0,326;0,4438;0,745;0,6456;0,9591;0,7533;2,4922;0,452;205,193;0,434025527;0,318500144;0,247474329;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0302;PET0302;16;0,592592593;27;56;22;118,8;45,5;5,657142857;31;26,3;0;16;19,14147441;6,784138932;40,12883337;5,915096045;2,918394246;3,777739279;1,869855062;10,3302663;2,021589282;3,541210517;15,33333333;361,3374;5797,9526;54,6947;71,7973;118,0253;129,286;127,8814;1,781144973;1,8007;2,1579;2,2747;0,1101;0,2279;0,3466;0,4828;0,6975;0,6645;0,7965;0,8848;1,7483;0,4289;166,981;0,478934729;0,323216414;0,197848857;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0303;PET0303;20;0,64516129;31;58;29,6;127,4;56;7,077777778;56,5;41,2;1,3;19;19,26833138;6,189987937;40,23764726;6,500440336;3,14094799;4,516229794;1,635035734;11,96591759;2,778750771;3,80597594;14,66666667;333,6761;5250,6203;50,3767;66,3787;119,2107;121,0733;122,7332;1,848984689;1,824;2,3664;2,5273;0,1014;0,2399;0,3871;0,5307;0,7956;0,7796;0,882;0,8813;2,3305;0,429;180,72;0,433145197;0,322880699;0,243974104;10,764225;6,4184875;2,0359875;2,1815;3,851025;3,909225;4,07565;1,868278707;1,79715;1,89715;1,966475;0,0655625;0,1952375;0,4547;0,32495;0,337125;0,753;0,8888625;0,8419625;1,827075;0,4196375
PET0304;PET0304;17;0,68;25;48;30,8;109,3;32,8;6,072222222;67,3;32;1;21;18,31250039;6,191089791;42,04648233;6,7914509;2,671973326;4,036816981;1,546622221;10,29251026;2,605826076;3,841023749;16;312,1544;4702,6501;55,7953;65,4473;110,4053;110,8287;112,5658;1,719945666;1,6934;1,9788;2,008;0,091;0,2011;0,343;0,3521;0,6987;0,789;0,8881;0,8798;1,9398;0,3427;166,418;0,468074367;0,316450144;0,215475489;10,8787375;6,4049875;1,9116;2,0611;4,094425;4,131475;4,27115;2,072267236;2,0063875;2,1453375;2,19875;0,0655875;0,22715;0,46295;0,32105;0,3427375;0,7436625;0,885475;0,831125;2,00935;0,4263375
PET0305;PET0305;19;0,5;38;59;26,9;141,9;61;8,347058824;30,9;35,2;0,2;19;16,84832062;5,613509244;40,17304007;7,156493082;2,78821288;3,992650478;1,266889498;10,13959429;3,14572135;3,637225651;17,33333333;375,5395;4682,1483;40,8093;57,8273;132,4187;141,1393;140,9324;2,437125717;2,4407;3,2448;3,3764;0,1003;0,3057;0,2997;0,3394;0,7102;0,3277;0,4216;0,8065;1,092;0,6717;171,424;0,471188398;0,325269507;0,203542094;10,2636;6,2672375;2,033325;2,21855;3,73195;3,7412;3,8613125;1,740466746;1,6861375;1,8350875;1,8706875;0,0654125;0,1793375;0,466375;0,37215;0,2953125;0,77235;0,8884;0,857325;1,7877875;0,41825
PET0306;PET0306;16;0,592592593;27;48;NA;NA;32,5;NA;35,3;21,2;0,2;15;19,40802533;6,638086703;40,43731772;6,091712797;2,755634794;4,431661241;1,205394834;11,71677074;3,680761389;4,257809515;19,33333333;351,4839;4137,791;40,8093;50,546;132,842;137,922;137,3121;2,716576979;2,7286;3,2552;3,242;0,0865;0,3165;0,3285;0,3262;0,7037;0,5921;0,6708;0,8877;2,3398;0,4596;178,978;0,441283286;0,324486808;0,234229905;10,294675;5,86045;1,90765;2,0730125;3,7253125;3,772975;3,8873875;1,875235919;1,8284875;1,95995;2,0161375;0,0692875;0,20415;0,4503125;0,3512875;0,3150875;0,7588375;0,8882625;0,851225;1,903475;0,4233625
PET0307;PET0307;21;0,636363636;33;60;22,6;122,9;15;7,68125;35,9;20,7;2,3;26;21,61167441;2,669932869;39,22991907;14,69322301;2,635604915;3,682280224;1,245647883;9,666692289;2,987682852;3,683154695;15,75;318,7208;3723,6915;39,2007;54,4407;109,0507;124,7987;123,5815;2,270020408;2,2924;2,7819;3,0952;0,1136;0,2931;0,2745;0,3329;0,6897;0,5472;0,6689;0,8986;2,3846;0,5881;214,488;0,45616538;0,341016747;0,202817873;9,2478875;4,3917375;1,513425;1,6483625;3,4872125;3,5374875;3,6971875;2,242945651;2,1528875;2,3134625;2,381625;0,068975;0,248325;0,47385;0,3405625;0,3085375;0,7274125;0,8713;0,83095;2,1225;0,444125
PET0308;PET0308;21;0,677419355;31;56;22,6;155,7;23,7;10,38;33,1;3,3;2,8;25;21,83261104;5,453348275;40,75170986;7,472786958;2,955669344;3,888113879;1,384243755;10,3238749;2,830283474;3,493191679;15,66666667;317,021;3598,0143;40,8093;50,6307;113,1147;119,9727;121,5237;2,400197904;2,3696;2,7718;2,3445;0,0926;0,2921;0,3132;0,3169;0,6475;0,5946;0,8835;0,7309;1,7991;0,3834;187,716;0,457947112;0,33588506;0,206167828;10,1509625;5,7255625;1,9208875;2,0756625;3,54805;3,6089125;3,7630875;1,812957309;1,742625;1,852225;1,9546625;0,0632625;0,1896875;0,48015;0,3244875;0,3137;0,777075;0,88655;0,8785375;1,8339875;0,4137125
PET0309;PET0309N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,11932;5,40882;1,6129;1,7653;3,93486;3,97088;4,10348;2,324522744;2,25126;NA;2,5553;0,07406;0,26156;0,49036;NA;NA;NA;NA;NA;NA;NA
PET0310;PET0310;15;0,365853659;41;60;14;95,2;40,5;5,288888889;20;13;12,4;12;22,20683938;5,996195622;40,29857491;6,720690493;2,513214107;4,371527061;1,444639476;10,78023439;3,053556014;4,301455578;13,33333333;338,8769;4037,2034;34,9673;54,1867;134,62;136,9907;138,0476;2,547628846;2,5281;3,8499;3,8175;0,1205;0,3332;0,2874;0,4582;0,7289;0,731;0,8336;0,8795;3,5602;0,4527;167,024;0,467070601;0,321558578;0,211370821;10,5350125;6,489425;2,09815;2,2979125;3,6949125;3,7398875;3,919525;1,705689403;1,6279375;1,76165;1,83145;0,0695875;0,170375;0,46805;0,3833375;0,316775;0,7837375;0,8924;0,8768125;1,7581375;0,4106875
