Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF;Stem diameter at flowering;Plant height at flowering;Peduncle length of first flower;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
PET0431;PET0431;13;0,590909091;22;45;19,9;90,8;25,5;11,35;32,2;22;0;13;28,03422052;7,055800488;39,44925893;5,591039458;3,117020271;4,7443748;1,31559936;12,61588957;3,607785842;4,056338784;18,33333333;302,9969;4017,3038;49,784;63,1613;101,346;105,8333;105,1058;1,664085445;1,6756;2,0357;1,9536;0,1004;0,2075;0,3303;0,405;0,7095;0,5701;0,6449;0,8683;1,3434;0,4711;177,001;0,492274055;0,332868176;0,174857769;13,63235;9,788775;2,3019;2,532075;5,2586;5,291675;5,3837;2,126200843;2,0909375;2,2862;2,3113875;0,0725875;0,24005;0,4399375;0,349725;0,294325;0,778475;0,89135;0,8669125;2,254025;0,397675
PET0432;PET0432;11;0,55;20;39;17,1;51,9;NA;6,4875;38,9;23,4;0;13;27,74758742;6,91844662;38,4960273;5,564258773;2,240104786;3,516404355;1,017278832;9,295001537;3,500048103;4,165867184;18;307,2086;4983,4667;52,832;65,4473;111,76;114,808;115,7887;1,769189867;1,7542;2,1154;1,9533;0,0813;0,2012;0,3786;0,3697;0,6545;0,7587;0,8779;0,8779;2;0,403;176,474;0,475293811;0,32380974;0,200896449;12,999775;7,420475;1,696;1,8336;5,241375;5,26255;5,386375;2,937595441;2,898525;3,124575;3,233675;0,0746;0,31425;0,4851;0,33035;0,30335;0,736025;0,8699;0,835175;2,780925;0,430125
PET0433;PET0433;14;0,451612903;31;52;17,2;65,1;10,3;7,233333333;21,8;18,7;0,5;14;18,76435812;4,311829342;40,59803235;9,41550074;2,354576781;4,254424169;1,316197473;11,62383214;3,148975569;4,083018626;15,5;274,4007;3028,5674;31,5807;48,4293;94,5727;106,172;103,9735;2,146913129;2,1923;2,9946;3,1202;0,1156;0,2984;0,3151;0,5122;0,7887;0,6464;0,7811;0,894;2,5633;0,5242;181,518;0,458119856;0,331691623;0,210188521;13,315025;9,0601375;2,170925;2,3971375;5,0548625;5,07735;5,1973375;2,168143254;2,1229125;2,3337625;2,3384375;0,0712875;0,24725;0,4479;0,368275;0,31575;0,7300875;0,8854375;0,8094875;2,1389625;0,4445125
PET0434;PET0434;16;0,727272727;22;46;31,6;75,3;36;8,366666667;49,1;27,9;4,8;16;21,96073098;5,794520538;40,44401985;6,979700836;2,418314025;4,128550865;1,20204439;10,9969784;3,438445385;4,696486937;22;277,3784;3983,6766;60,2827;61,0447;94,6573;96,8587;97,6988;1,600446886;1,5867;1,5702;1,6361;0,0434;0,1396;0,3931;0,1522;0,5196;0,5897;0,6808;0,8383;1,1309;0,4323;166,065;0,472838949;0,318008009;0,209153042;12,989475;8,449575;2,0902;2,267475;4,93185;4,99005;5,138225;2,266055855;2,203;2,364425;2,388075;0,07235;0,255125;0,448;0,302425;0,329075;0,7277;0,888325;0,809675;2,157425;0,42965
PET0435;PET0435;14;0,777777778;18;41;15,1;85,4;8,3;7,116666667;36,4;16,1;5,4;12;17,08529903;6,266870317;40,45309568;6,455071452;2,275744361;3,286536825;1,20930608;8,6010573;2,774822017;3,805299268;16;362,3776;6690,6031;78,6553;82,4653;122,0893;129,4553;129,849;1,574589555;1,5698;1,5522;1,63;0,0607;0,1331;0,3359;0,2015;0,5923;0,6531;0,8603;0,7426;1,2665;0,3382;177,557;0,448892468;0,330828973;0,220278558;11,41645;6,659275;1,8679625;2,021425;4,3735875;4,446325;4,57645;2,263972198;2,2022625;2,3460375;2,41595;0,0715875;0,252875;0,4463;0,3292;0,3222125;0,76575;0,870875;0,87905;2,264625;0,3988375
PET0436;PET0436;14;0,7;20;37;11;54,6;NA;2,873684211;25,9;20,5;7,4;10;24,41965366;6,537874177;38,56640255;5,898920889;2,478609185;4,225101207;1,503684674;10,67559186;2,808739325;4,341954063;15,33333333;309,2288;4131,8054;56,7267;60,2827;100,9227;113,03;113,5419;1,88349062;1,875;1,7791;1,9748;0,0565;0,1936;0,319;0,1128;0,5499;0,4213;0,5462;0,7463;1,0255;0,5803;196,554;0,464493218;0,328907069;0,206599713;11,5675875;7,0388125;1,97645;2,1418;4,4846875;4,519075;4,6405875;2,166676394;2,1128125;2,2718375;2,315775;0,070175;0,239325;0,4385375;0,3190125;0,3146125;0,7877875;0,889025;0,880425;2,278075;0,3812
PET0437;PET0437;12;1,714285714;7;29;12;76;NA;6,909090909;27,9;16,4;3,7;NA;19,24992874;6,340591223;40,88929124;6,448813651;2,637115515;3,777411807;1,546692527;9,856281611;2,439166272;3,750897881;12,66666667;319,6687;4079,0599;44,0267;51,1387;116,6707;124,206;123,6398;2,417734514;2,4288;2,65;2,8022;0,0986;0,2909;0,3451;0,3848;0,681;0,5143;0,59;0,8647;1,6756;0,5317;NA;NA;NA;NA;11,8066;7,6362375;2,1431375;2,3204;4,423825;4,463525;4,588625;1,977514653;1,9285375;2,0694;2,10645;0,066275;0,2137875;0,4470875;0,3183625;0,32615;0,7448375;0,8872625;0,83295;1,9613375;0,4219375
PET0438;PET0438;13;0,928571429;14;38;14,5;75,8;NA;10,82857143;42,7;28,3;2;12;19,95912625;6,619346827;41,19320013;6,223151801;2,739055028;3,281525254;1,309736246;9,240736301;2,515885713;3,374829008;15,66666667;308,2545;4600,5786;51,9007;60,452;110,8287;112,268;113,2824;1,873923113;1,8571;2,1354;2,1442;0,0889;0,2212;0,3861;0,4686;0,7048;0,7623;0,8588;0,8875;2,02;0,382;183,619;0,459130046;0,322597335;0,218272619;12,6286125;8,6998;2,2859875;2,4632625;4,6976875;4,724125;4,8586;1,972424782;1,919975;2,059325;2,0703;0,0646625;0,2119125;0,4644625;0,318475;0,3205;0,7390125;0,88155;0,825425;1,9001625;0,4242
PET0439;PET0439;10;0,714285714;14;38;17,2;57,6;NA;4,114285714;42,2;23,6;1,6;12;19,06075038;7,467805482;38,58490101;5,166832626;2,447521884;3,928257062;1,203808949;10,6887232;3,263134457;4,384931818;13;295,3652;3718,7524;44,196;47,0747;114,046;121,158;118,7265;2,522087236;2,5737;2,5805;2,6915;0,074;0,2834;0,3714;0,2472;0,6358;0,7566;0,8905;0,892;2,4931;0,2891;187,245;0,452316484;0,327998077;0,219685439;11,5602625;7,1359875;1,938075;2,0492;4,4331;4,4595375;4,614525;2,251866582;2,18365;2,295125;2,3505625;0,0647125;0,2437;0,4987375;0,2905;0,341875;0,7766375;0,884325;0,8705875;2,2331;0,410925
PET0440;PET0440;12;1;12;38;17,1;66,3;34,8;6,63;74;40,9;2;13;19,81702773;7,151297623;41,1289226;5,751253097;3,153165179;4,679580278;1,593886196;12,42294287;2,935157986;3,948062471;16;382,1921;5859,8951;54,6947;66,548;139,192;143,3407;139,3078;2,093343151;2,1539;2,5449;2,4851;0,1023;0,2677;0,3248;0,4246;0,6813;0,4681;0,5574;0,8751;1,3515;0,5541;169,837;0,468137096;0,327337388;0,204525516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
