ID,flower,leafbottom,leaftop,plantside,planttop,primarybranch,seed,leafstrip
ARG0001,nan,ARG0001_leafbottom,ARG0001_leaftop,ARG0001_plantside,ARG0001_planttop,ARG0001_primarybranch,nan,ARG0001_leafstrip
ARG0002,nan,ARG0002_leafbottom,ARG0002_leaftop,ARG0002_plantside,ARG0002_planttop,ARG0002_primarybranch,nan,ARG0002_leafstrip
ARG0003,nan,ARG0003_leafbottom,ARG0003_leaftop,ARG0003_plantside,ARG0003_planttop,ARG0003_primarybranch,nan,ARG0003_leafstrip
ARG0004,nan,ARG0004_leafbottom,ARG0004_leaftop,ARG0004_plantside,ARG0004_planttop,ARG0004_primarybranch,nan,ARG0004_leafstrip
ARG0005,nan,ARG0005_leafbottom,ARG0005_leaftop,ARG0005_plantside,ARG0005_planttop,ARG0005_primarybranch,nan,ARG0005_leafstrip
ARG0006,nan,ARG0006_leafbottom,ARG0006_leaftop,ARG0006_plantside,ARG0006_planttop,ARG0006_primarybranch,nan,ARG0006_leafstrip
ARG0007,nan,ARG0007_leafbottom,ARG0007_leaftop,ARG0007_plantside,ARG0007_planttop,ARG0007_primarybranch,nan,ARG0007_leafstrip
ARG0008,nan,ARG0008_leafbottom,ARG0008_leaftop,ARG0008_plantside,ARG0008_planttop,ARG0008_primarybranch,nan,ARG0008_leafstrip
ARG0009,nan,ARG0009_leafbottom,ARG0009_leaftop,ARG0009_plantside,ARG0009_planttop,ARG0009_primarybranch,nan,ARG0009_leafstrip
ARG0010,nan,ARG0010_leafbottom,ARG0010_leaftop,ARG0010_plantside,ARG0010_planttop,ARG0010_primarybranch,nan,ARG0010_leafstrip
ARG0011,nan,ARG0011_leafbottom,ARG0011_leaftop,ARG0011_plantside,ARG0011_planttop,ARG0011_primarybranch,nan,ARG0011_leafstrip
ARG0012,nan,ARG0012_leafbottom,ARG0012_leaftop,ARG0012_plantside,ARG0012_planttop,ARG0012_primarybranch,nan,ARG0012_leafstrip
ARG0013,nan,ARG0013_leafbottom,ARG0013_leaftop,ARG0013_plantside,ARG0013_planttop,ARG0013_primarybranch,nan,ARG0013_leafstrip
ARG0014,nan,nan,nan,ARG0014_plantside,ARG0014_planttop,ARG0014_primarybranch,nan,nan
ARG0015,nan,ARG0015_leafbottom,ARG0015_leaftop,ARG0015_plantside,ARG0015_planttop,ARG0015_primarybranch,nan,ARG0015_leafstrip
ARG0016,nan,ARG0016_leafbottom,ARG0016_leaftop,ARG0016_plantside,ARG0016_planttop,ARG0016_primarybranch,nan,ARG0016_leafstrip
ARG0017,nan,ARG0017_leafbottom,ARG0017_leaftop,ARG0017_plantside,ARG0017_planttop,ARG0017_primarybranch,nan,ARG0017_leafstrip
ARG0018,nan,ARG0018_leafbottom,ARG0018_leaftop,ARG0018_plantside,ARG0018_planttop,ARG0018_primarybranch,nan,ARG0018_leafstrip
ARG0019,nan,ARG0019_leafbottom,ARG0019_leaftop,ARG0019_plantside,ARG0019_planttop,ARG0019_primarybranch,nan,ARG0019_leafstrip
ARG0020,nan,ARG0020_leafbottom,ARG0020_leaftop,ARG0020_plantside,ARG0020_planttop,ARG0020_primarybranch,nan,ARG0020_leafstrip
ARG0021,nan,ARG0021_leafbottom,ARG0021_leaftop,ARG0021_plantside,ARG0021_planttop,ARG0021_primarybranch,nan,ARG0021_leafstrip
ARG0022,nan,nan,nan,ARG0022_plantside,ARG0022_planttop,ARG0022_primarybranch,nan,nan
